date,hour,min,max,median,stddev
6/17/2024,0:00,12,12,12,0
6/17/2024,1:00,15.6,15.6,15.6,0
6/17/2024,2:00,15.6,15.6,15.6,0
6/17/2024,3:00,15.4,15.4,15.4,0
6/17/2024,4:00,14.2,14.2,14.2,0
6/17/2024,5:00,12,12,12,0
6/17/2024,6:00,9.4,9.4,9.4,0
6/17/2024,7:00,6.6,6.6,6.6,0
6/17/2024,8:00,6.4,6.4,6.4,0
6/17/2024,9:00,5.3,5.3,5.3,0
6/17/2024,10:00,4.4,4.4,4.4,0
6/17/2024,11:00,6.9,6.9,6.9,0
6/17/2024,12:00,6.5,6.5,6.5,0
6/17/2024,13:00,7.5,7.5,7.5,0
6/17/2024,14:00,6.9,6.9,6.9,0
6/17/2024,15:00,6.6,6.6,6.6,0
6/17/2024,16:00,6.7,6.7,6.7,0
6/17/2024,17:00,8.2,8.2,8.2,0
6/17/2024,18:00,8.9,8.9,8.9,0
6/17/2024,19:00,7.8,7.8,7.8,0
6/17/2024,20:00,5.3,5.3,5.3,0
6/17/2024,21:00,4.1,4.1,4.1,0
6/17/2024,22:00,2.8,2.8,2.8,0
6/17/2024,23:00,2.2,2.2,2.2,0
6/18/2024,0:00,2.6,2.6,2.6,0
6/18/2024,1:00,2.9,2.9,2.9,0
6/18/2024,2:00,3.4,3.4,3.4,0
6/18/2024,3:00,5,5,5,0
6/18/2024,4:00,5.7,5.7,5.7,0
6/18/2024,5:00,4.3,4.3,4.3,0
6/18/2024,6:00,5.3,5.3,5.3,0
6/18/2024,7:00,6,6,6,0
6/18/2024,8:00,4.8,4.8,4.8,0
6/18/2024,9:00,6,6,6,0
6/18/2024,10:00,5.6,5.6,5.6,0
6/18/2024,11:00,5.7,5.7,5.7,0
6/18/2024,12:00,6.3,6.3,6.3,0
6/18/2024,13:00,6.4,6.4,6.4,0
6/18/2024,14:00,7.6,7.6,7.6,0
6/18/2024,15:00,8.6,8.6,8.6,0
6/18/2024,16:00,11.1,11.1,11.1,0
